file,row,created_at
election-filter4.txt,15200000,2016-07-13
election-filter4.txt,15300000,2016-07-14
election-filter4.txt,15400000,2016-07-14
election-filter4.txt,15500000,2016-07-15
election-filter4.txt,15600000,2016-07-15
election-filter4.txt,15700000,2016-07-16
election-filter4.txt,15800000,2016-07-17
election-filter4.txt,15900000,2016-07-17
election-filter4.txt,16000000,2016-07-18
election-filter4.txt,16100000,2016-07-19
election-filter4.txt,16200000,2016-07-19
election-filter4.txt,16300000,2016-07-20
election-filter4.txt,16400000,2016-07-20
election-filter4.txt,16500000,2016-07-20
election-filter4.txt,16600000,2016-07-21
election-filter4.txt,16700000,2016-07-21
election-filter4.txt,16800000,2016-07-21
election-filter4.txt,16900000,2016-07-21
election-filter4.txt,17000000,2016-07-22
election-filter4.txt,17100000,2016-07-22
election-filter4.txt,17200000,2016-07-22
election-filter4.txt,17300000,2016-07-23
election-filter4.txt,17400000,2016-07-23
election-filter5.txt,41700000,2016-07-23
election-filter5.txt,41800000,2016-07-23
election-filter5.txt,41900000,2016-07-24
election-filter5.txt,42000000,2016-07-24
election-filter5.txt,42100000,2016-07-24
election-filter5.txt,42200000,2016-07-25
election-filter5.txt,42300000,2016-07-25
election-filter5.txt,42400000,2016-07-25
election-filter5.txt,42500000,2016-07-26
election-filter5.txt,42600000,2016-07-26
election-filter5.txt,42700000,2016-07-26
election-filter5.txt,42800000,2016-07-26
election-filter5.txt,42900000,2016-07-26
election-filter5.txt,43000000,2016-07-27
election-filter5.txt,43100000,2016-07-27
election-filter5.txt,43200000,2016-07-27
election-filter5.txt,43300000,2016-07-27
election-filter5.txt,43400000,2016-07-27
election-filter1.txt,4400000,2016-07-28
election-filter1.txt,4500000,2016-07-28
election-filter1.txt,4600000,2016-07-28
election-filter1.txt,4700000,2016-07-28
election-filter1.txt,4800000,2016-07-28
election-filter1.txt,4900000,2016-07-28
election-filter1.txt,5000000,2016-07-28
election-filter1.txt,5100000,2016-07-28
election-filter1.txt,5200000,2016-07-28
election-filter1.txt,5300000,2016-07-28
election-filter1.txt,5400000,2016-07-28
election-filter1.txt,5500000,2016-07-28
election-filter1.txt,5600000,2016-07-28
election-filter1.txt,5700000,2016-07-28
election-filter1.txt,5800000,2016-07-28
election-filter1.txt,5900000,2016-07-28
election-filter5.txt,43500000,2016-07-28
election-filter5.txt,43600000,2016-07-28
election-filter5.txt,43700000,2016-07-28
election-filter1.txt,6000000,2016-07-29
election-filter1.txt,6100000,2016-07-29
election-filter1.txt,6200000,2016-07-29
election-filter1.txt,6300000,2016-07-29
election-filter1.txt,6400000,2016-07-29
election-filter1.txt,6500000,2016-07-29
election-filter1.txt,6600000,2016-07-29
election-filter1.txt,6700000,2016-07-29
election-filter1.txt,6800000,2016-07-29
election-filter1.txt,6900000,2016-07-29
election-filter1.txt,7000000,2016-07-29
election-filter1.txt,7100000,2016-07-29
election-filter1.txt,7200000,2016-07-29
election-filter1.txt,7300000,2016-07-29
election-filter1.txt,7400000,2016-07-29
election-filter1.txt,7500000,2016-07-29
election-filter1.txt,7600000,2016-07-29
election-filter1.txt,7700000,2016-07-29
election-filter1.txt,7800000,2016-07-29
election-filter1.txt,7900000,2016-07-29
election-filter1.txt,8000000,2016-07-29
election-filter1.txt,8100000,2016-07-29
