row,created_at
0,2016-10-31
100000,2016-10-31
200000,2016-10-31
300000,2016-10-31
400000,2016-10-31
500000,2016-10-31
600000,2016-10-31
700000,2016-10-31
800000,2016-10-31
900000,2016-10-31
1000000,2016-10-31
1100000,2016-11-01
1200000,2016-11-01
1300000,2016-11-01
1400000,2016-11-01
1500000,2016-11-01
1600000,2016-11-01
1700000,2016-11-01
1800000,2016-11-01
1900000,2016-11-01
2000000,2016-11-01
2100000,2016-11-01
2200000,2016-11-01
2300000,2016-11-01
2400000,2016-11-01
2500000,2016-11-01
2600000,2016-11-01
2700000,2016-11-01
2800000,2016-11-01
2900000,2016-11-01
3000000,2016-11-01
3100000,2016-11-01
3200000,2016-11-01
3300000,2016-11-01
3400000,2016-11-01
3500000,2016-11-01
3600000,2016-11-01
3700000,2016-11-01
3800000,2016-11-01
3900000,2016-11-01
4000000,2016-11-01
4100000,2016-11-01
4200000,2016-11-01
4300000,2016-11-01
4400000,2016-11-01
4500000,2016-11-01
4600000,2016-11-01
4700000,2016-11-02
4800000,2016-11-02
4900000,2016-11-02
5000000,2016-11-02
5100000,2016-11-02
5200000,2016-11-02
5300000,2016-11-02
5400000,2016-11-02
5500000,2016-11-02
5600000,2016-11-02
5700000,2016-11-02
5800000,2016-11-02
5900000,2016-11-02
6000000,2016-11-02
6100000,2016-11-02
6200000,2016-11-02
6300000,2016-11-02
6400000,2016-11-02
6500000,2016-11-02
6600000,2016-11-02
6700000,2016-11-02
6800000,2016-11-02
6900000,2016-11-02
7000000,2016-11-02
7100000,2016-11-02
7200000,2016-11-02
7300000,2016-11-02
7400000,2016-11-02
7500000,2016-11-02
7600000,2016-11-02
7700000,2016-11-02
7800000,2016-11-02
7900000,2016-11-02
8000000,2016-11-02
8100000,2016-11-02
8200000,2016-11-02
8300000,2016-11-02
8400000,2016-11-02
8500000,2016-11-02
8600000,2016-11-03
8700000,2016-11-03
8800000,2016-11-03
8900000,2016-11-03
9000000,2016-11-03
9100000,2016-11-03
9200000,2016-11-03
9300000,2016-11-03
9400000,2016-11-03
9500000,2016-11-03
9600000,2016-11-03
9700000,2016-11-03
9800000,2016-11-03
9900000,2016-11-03
10000000,2016-11-03
10100000,2016-11-03
10200000,2016-11-03
10300000,2016-11-03
10400000,2016-11-03
10500000,2016-11-03
10600000,2016-11-03
10700000,2016-11-03
10800000,2016-11-03
10900000,2016-11-03
11000000,2016-11-03
11100000,2016-11-03
11200000,2016-11-03
11300000,2016-11-03
11400000,2016-11-03
11500000,2016-11-03
11600000,2016-11-03
11700000,2016-11-03
11800000,2016-11-03
11900000,2016-11-03
12000000,2016-11-03
12100000,2016-11-03
12200000,2016-11-03
12300000,2016-11-03
12400000,2016-11-04
12500000,2016-11-04
12600000,2016-11-04
12700000,2016-11-04
12800000,2016-11-04
12900000,2016-11-04
13000000,2016-11-04
13100000,2016-11-04
13200000,2016-11-04
13300000,2016-11-04
13400000,2016-11-04
13500000,2016-11-04
13600000,2016-11-04
13700000,2016-11-04
13800000,2016-11-04
13900000,2016-11-04
14000000,2016-11-04
14100000,2016-11-04
14200000,2016-11-04
14300000,2016-11-04
14400000,2016-11-04
14500000,2016-11-04
14600000,2016-11-04
14700000,2016-11-04
14800000,2016-11-04
14900000,2016-11-04
15000000,2016-11-04
15100000,2016-11-04
15200000,2016-11-04
15300000,2016-11-04
15400000,2016-11-04
15500000,2016-11-04
15600000,2016-11-04
15700000,2016-11-04
15800000,2016-11-04
15900000,2016-11-04
16000000,2016-11-04
16100000,2016-11-04
16200000,2016-11-05
16300000,2016-11-05
16400000,2016-11-05
16500000,2016-11-05
16600000,2016-11-05
16700000,2016-11-05
16800000,2016-11-05
16900000,2016-11-05
17000000,2016-11-05
17100000,2016-11-05
17200000,2016-11-05
17300000,2016-11-05
17400000,2016-11-05
17500000,2016-11-05
17600000,2016-11-05
17700000,2016-11-05
17800000,2016-11-05
17900000,2016-11-05
18000000,2016-11-05
18100000,2016-11-05
18200000,2016-11-05
18300000,2016-11-05
18400000,2016-11-05
18500000,2016-11-05
18600000,2016-11-05
18700000,2016-11-05
18800000,2016-11-05
18900000,2016-11-05
19000000,2016-11-05
19100000,2016-11-05
19200000,2016-11-05
19300000,2016-11-05
19400000,2016-11-05
19500000,2016-11-05
19600000,2016-11-05
19700000,2016-11-05
19800000,2016-11-05
19900000,2016-11-05
20000000,2016-11-05
20100000,2016-11-06
20200000,2016-11-06
20300000,2016-11-06
20400000,2016-11-06
20500000,2016-11-06
