row,created_at
0,2016-10-16
100000,2016-10-16
200000,2016-10-16
300000,2016-10-16
400000,2016-10-16
500000,2016-10-16
600000,2016-10-16
700000,2016-10-16
800000,2016-10-16
900000,2016-10-16
1000000,2016-10-16
1100000,2016-10-16
1200000,2016-10-16
1300000,2016-10-16
1400000,2016-10-17
1500000,2016-10-17
1600000,2016-10-17
1700000,2016-10-17
1800000,2016-10-17
1900000,2016-10-17
2000000,2016-10-17
2100000,2016-10-17
2200000,2016-10-17
2300000,2016-10-17
2400000,2016-10-17
2500000,2016-10-17
2600000,2016-10-17
2700000,2016-10-17
2800000,2016-10-17
2900000,2016-10-17
3000000,2016-10-17
3100000,2016-10-17
3200000,2016-10-17
3300000,2016-10-17
3400000,2016-10-17
3500000,2016-10-17
3600000,2016-10-17
3700000,2016-10-17
3800000,2016-10-17
3900000,2016-10-17
4000000,2016-10-17
4100000,2016-10-17
4200000,2016-10-17
4300000,2016-10-17
4400000,2016-10-17
4500000,2016-10-17
4600000,2016-10-17
4700000,2016-10-17
4800000,2016-10-17
4900000,2016-10-18
5000000,2016-10-18
5100000,2016-10-18
5200000,2016-10-18
5300000,2016-10-18
5400000,2016-10-18
5500000,2016-10-18
5600000,2016-10-18
5700000,2016-10-18
5800000,2016-10-18
5900000,2016-10-18
6000000,2016-10-18
6100000,2016-10-18
6200000,2016-10-18
6300000,2016-10-18
6400000,2016-10-18
6500000,2016-10-18
6600000,2016-10-18
6700000,2016-10-18
6800000,2016-10-18
6900000,2016-10-18
7000000,2016-10-18
7100000,2016-10-18
7200000,2016-10-18
7300000,2016-10-18
7400000,2016-10-18
7500000,2016-10-18
7600000,2016-10-18
7700000,2016-10-18
7800000,2016-10-18
7900000,2016-10-18
8000000,2016-10-18
8100000,2016-10-18
8200000,2016-10-18
8300000,2016-10-18
8400000,2016-10-18
8500000,2016-10-18
8600000,2016-10-19
8700000,2016-10-19
8800000,2016-10-19
8900000,2016-10-19
9000000,2016-10-19
9100000,2016-10-19
9200000,2016-10-19
9300000,2016-10-19
9400000,2016-10-19
9500000,2016-10-19
9600000,2016-10-19
9700000,2016-10-19
9800000,2016-10-19
9900000,2016-10-19
10000000,2016-10-19
10100000,2016-10-19
10200000,2016-10-19
10300000,2016-10-19
10400000,2016-10-19
10500000,2016-10-19
10600000,2016-10-19
10700000,2016-10-19
10800000,2016-10-19
10900000,2016-10-19
11000000,2016-10-19
11100000,2016-10-19
11200000,2016-10-19
11300000,2016-10-19
11400000,2016-10-19
11500000,2016-10-19
11600000,2016-10-19
11700000,2016-10-19
11800000,2016-10-19
11900000,2016-10-19
12000000,2016-10-19
12100000,2016-10-19
12200000,2016-10-20
12300000,2016-10-20
12400000,2016-10-20
12500000,2016-10-20
12600000,2016-10-20
12700000,2016-10-20
12800000,2016-10-20
12900000,2016-10-20
13000000,2016-10-20
13100000,2016-10-20
13200000,2016-10-20
13300000,2016-10-20
13400000,2016-10-20
13500000,2016-10-20
13600000,2016-10-20
13700000,2016-10-20
13800000,2016-10-20
13900000,2016-10-20
14000000,2016-10-20
14100000,2016-10-20
14200000,2016-10-20
14300000,2016-10-20
14400000,2016-10-20
14500000,2016-10-20
14600000,2016-10-20
14700000,2016-10-20
14800000,2016-10-20
14900000,2016-10-20
15000000,2016-10-20
15100000,2016-10-20
15200000,2016-10-20
15300000,2016-09-01
15400000,2016-09-01
15500000,2016-09-01
15600000,2016-09-01
15700000,2016-09-01
15800000,2016-09-01
15900000,2016-09-01
16000000,2016-09-01
16100000,2016-09-02
16200000,2016-09-02
16300000,2016-09-02
16400000,2016-09-02
16500000,2016-09-02
16600000,2016-09-02
16700000,2016-09-02
16800000,2016-09-02
16900000,2016-09-02
17000000,2016-09-02
17100000,2016-09-02
17200000,2016-09-02
17300000,2016-09-02
17400000,2016-09-02
17500000,2016-09-02
17600000,2016-09-02
17700000,2016-09-02
17800000,2016-09-02
17900000,2016-09-02
18000000,2016-09-02
18100000,2016-09-03
18200000,2016-09-03
18300000,2016-09-03
18400000,2016-09-03
18500000,2016-09-03
18600000,2016-09-03
18700000,2016-09-03
18800000,2016-09-03
18900000,2016-09-03
19000000,2016-09-03
19100000,2016-09-03
19200000,2016-09-03
19300000,2016-09-03
19400000,2016-09-03
19500000,2016-09-03
19600000,2016-09-03
19700000,2016-09-03
19800000,2016-09-03
19900000,2016-09-03
20000000,2016-09-04
20100000,2016-09-04
20200000,2016-09-04
20300000,2016-09-06
20400000,2016-09-06
20500000,2016-09-06
20600000,2016-09-06
20700000,2016-09-06
20800000,2016-09-06
20900000,2016-09-06
21000000,2016-09-06
21100000,2016-09-06
21200000,2016-09-06
21300000,2016-09-06
21400000,2016-09-06
21500000,2016-09-07
21600000,2016-09-07
21700000,2016-09-07
21800000,2016-09-07
21900000,2016-09-07
22000000,2016-09-07
22100000,2016-09-07
22200000,2016-09-07
22300000,2016-09-07
22400000,2016-09-07
22500000,2016-09-07
22600000,2016-09-07
22700000,2016-09-07
22800000,2016-09-07
22900000,2016-09-07
23000000,2016-09-07
23100000,2016-09-07
23200000,2016-09-07
23300000,2016-09-07
23400000,2016-09-07
23500000,2016-09-07
23600000,2016-09-08
23700000,2016-09-08
23800000,2016-09-08
23900000,2016-09-08
24000000,2016-09-08
24100000,2016-09-08
24200000,2016-09-08
24300000,2016-09-08
24400000,2016-09-08
24500000,2016-09-08
24600000,2016-09-08
24700000,2016-09-08
24800000,2016-09-08
24900000,2016-09-08
25000000,2016-09-08
25100000,2016-09-08
25200000,2016-09-08
25300000,2016-09-08
25400000,2016-09-08
25500000,2016-09-08
25600000,2016-09-08
25700000,2016-09-08
25800000,2016-09-08
25900000,2016-09-08
26000000,2016-09-08
26100000,2016-09-08
26200000,2016-09-08
26300000,2016-09-08
26400000,2016-09-09
26500000,2016-09-09
26600000,2016-09-09
26700000,2016-09-09
26800000,2016-09-09
26900000,2016-09-09
27000000,2016-09-09
27100000,2016-09-09
27200000,2016-09-09
27300000,2016-09-09
27400000,2016-09-09
27500000,2016-09-09
27600000,2016-09-09
27700000,2016-09-09
27800000,2016-09-09
27900000,2016-09-09
28000000,2016-09-09
28100000,2016-09-09
28200000,2016-09-09
28300000,2016-09-09
28400000,2016-09-09
28500000,2016-09-09
28600000,2016-09-10
28700000,2016-09-10
28800000,2016-09-10
28900000,2016-09-10
29000000,2016-09-10
29100000,2016-09-10
29200000,2016-09-10
29300000,2016-09-10
29400000,2016-09-10
29500000,2016-09-10
29600000,2016-09-10
29700000,2016-09-10
29800000,2016-09-10
29900000,2016-09-10
30000000,2016-09-10
30100000,2016-09-10
30200000,2016-09-10
30300000,2016-09-10
30400000,2016-09-10
30500000,2016-09-10
30600000,2016-09-10
30700000,2016-09-10
30800000,2016-09-10
30900000,2016-09-11
31000000,2016-09-11
31100000,2016-09-11
31200000,2016-09-11
31300000,2016-09-11
31400000,2016-09-11
31500000,2016-09-11
31600000,2016-09-11
31700000,2016-09-11
31800000,2016-09-11
31900000,2016-09-11
32000000,2016-09-11
32100000,2016-09-11
32200000,2016-09-11
32300000,2016-09-11
32400000,2016-09-11
32500000,2016-09-11
32600000,2016-09-11
32700000,2016-09-11
32800000,2016-09-11
32900000,2016-09-11
33000000,2016-09-11
33100000,2016-09-11
33200000,2016-09-12
33300000,2016-09-12
33400000,2016-09-12
33500000,2016-09-12
33600000,2016-09-12
33700000,2016-09-12
33800000,2016-09-12
33900000,2016-09-12
34000000,2016-09-12
34100000,2016-09-12
34200000,2016-09-12
34300000,2016-09-12
34400000,2016-09-12
34500000,2016-09-12
34600000,2016-09-12
34700000,2016-09-12
34800000,2016-09-12
34900000,2016-09-12
35000000,2016-09-12
35100000,2016-09-12
35200000,2016-09-12
35300000,2016-09-12
35400000,2016-09-12
35500000,2016-09-12
35600000,2016-09-13
35700000,2016-09-13
35800000,2016-09-13
35900000,2016-09-13
36000000,2016-09-13
36100000,2016-09-13
36200000,2016-09-13
36300000,2016-09-13
36400000,2016-09-13
36500000,2016-09-13
36600000,2016-09-13
36700000,2016-09-13
36800000,2016-09-13
36900000,2016-09-13
37000000,2016-09-13
37100000,2016-09-13
37200000,2016-09-13
37300000,2016-09-13
37400000,2016-09-13
37500000,2016-09-13
37600000,2016-09-13
37700000,2016-09-13
37800000,2016-09-13
37900000,2016-09-14
38000000,2016-09-14
38100000,2016-09-14
38200000,2016-09-14
38300000,2016-09-14
38400000,2016-09-14
38500000,2016-09-14
38600000,2016-09-14
38700000,2016-09-14
38800000,2016-09-14
38900000,2016-09-14
39000000,2016-09-14
39100000,2016-09-14
39200000,2016-09-14
39300000,2016-09-14
39400000,2016-09-14
39500000,2016-09-14
39600000,2016-09-14
39700000,2016-09-14
39800000,2016-09-14
39900000,2016-09-14
40000000,2016-09-14
40100000,2016-09-14
40200000,2016-09-14
40300000,2016-09-14
40400000,2016-09-14
40500000,2016-09-14
40600000,2016-09-15
40700000,2016-09-15
40800000,2016-09-15
40900000,2016-09-15
41000000,2016-09-15
41100000,2016-09-15
41200000,2016-09-15
41300000,2016-09-15
41400000,2016-09-15
41500000,2016-09-15
41600000,2016-09-15
41700000,2016-09-15
41800000,2016-09-15
41900000,2016-09-15
42000000,2016-09-15
42100000,2016-09-15
42200000,2016-09-15
42300000,2016-09-15
42400000,2016-09-15
42500000,2016-09-15
42600000,2016-09-15
42700000,2016-09-15
42800000,2016-09-15
42900000,2016-09-15
43000000,2016-09-15
43100000,2016-09-16
43200000,2016-09-16
43300000,2016-09-16
43400000,2016-09-16
43500000,2016-09-16
43600000,2016-09-16
43700000,2016-09-16
43800000,2016-09-16
43900000,2016-09-16
44000000,2016-09-16
44100000,2016-09-16
44200000,2016-09-16
44300000,2016-09-16
44400000,2016-09-16
44500000,2016-09-16
44600000,2016-09-16
44700000,2016-09-16
44800000,2016-09-16
44900000,2016-09-16
45000000,2016-09-16
45100000,2016-09-16
45200000,2016-09-16
45300000,2016-09-16
45400000,2016-09-16
45500000,2016-09-16
45600000,2016-09-16
45700000,2016-09-16
45800000,2016-09-16
45900000,2016-09-16
46000000,2016-09-16
46100000,2016-09-16
46200000,2016-09-17
46300000,2016-09-17
46400000,2016-09-17
46500000,2016-09-17
46600000,2016-09-17
46700000,2016-09-17
46800000,2016-09-17
46900000,2016-09-17
47000000,2016-09-17
47100000,2016-09-17
47200000,2016-09-17
47300000,2016-09-17
47400000,2016-09-17
47500000,2016-09-17
47600000,2016-09-17
47700000,2016-09-17
47800000,2016-09-17
47900000,2016-09-17
48000000,2016-09-17
48100000,2016-09-17
48200000,2016-09-17
48300000,2016-09-17
48400000,2016-09-17
48500000,2016-09-17
48600000,2016-09-18
48700000,2016-09-18
48800000,2016-09-18
48900000,2016-09-18
49000000,2016-09-18
49100000,2016-09-18
49200000,2016-09-18
49300000,2016-09-18
49400000,2016-09-18
49500000,2016-09-18
49600000,2016-09-18
49700000,2016-09-18
49800000,2016-09-18
49900000,2016-09-18
