row,created_at
0,2016-08-10
100000,2016-08-10
200000,2016-08-10
300000,2016-08-10
400000,2016-08-11
500000,2016-08-11
600000,2016-08-11
700000,2016-08-11
800000,2016-08-11
900000,2016-08-11
1000000,2016-08-11
1100000,2016-08-11
1200000,2016-08-11
1300000,2016-08-11
1400000,2016-08-11
1500000,2016-08-11
1600000,2016-08-11
1700000,2016-08-11
1800000,2016-08-11
1900000,2016-08-12
2000000,2016-08-12
2100000,2016-08-12
2200000,2016-08-12
2300000,2016-08-12
2400000,2016-08-12
2500000,2016-08-12
2600000,2016-08-12
2700000,2016-08-12
2800000,2016-08-12
2900000,2016-08-12
3000000,2016-08-12
3100000,2016-08-12
3200000,2016-08-12
3300000,2016-08-12
3400000,2016-08-13
3500000,2016-08-13
3600000,2016-08-13
3700000,2016-08-13
3800000,2016-08-13
3900000,2016-08-13
4000000,2016-08-13
4100000,2016-08-13
4200000,2016-08-13
4300000,2016-08-13
4400000,2016-07-28
4500000,2016-07-28
4600000,2016-07-28
4700000,2016-07-28
4800000,2016-07-28
4900000,2016-07-28
5000000,2016-07-28
5100000,2016-07-28
5200000,2016-07-28
5300000,2016-07-28
5400000,2016-07-28
5500000,2016-07-28
5600000,2016-07-28
5700000,2016-07-28
5800000,2016-07-28
5900000,2016-07-28
6000000,2016-07-29
6100000,2016-07-29
6200000,2016-07-29
6300000,2016-07-29
6400000,2016-07-29
6500000,2016-07-29
6600000,2016-07-29
6700000,2016-07-29
6800000,2016-07-29
6900000,2016-07-29
7000000,2016-07-29
7100000,2016-07-29
7200000,2016-07-29
7300000,2016-07-29
7400000,2016-07-29
7500000,2016-07-29
7600000,2016-07-29
7700000,2016-07-29
7800000,2016-07-29
7900000,2016-07-29
8000000,2016-07-29
8100000,2016-07-29
8200000,2016-07-29
8300000,2016-07-29
8400000,2016-07-29
8500000,2016-07-29
8600000,2016-07-29
8700000,2016-07-29
8800000,2016-07-29
8900000,2016-07-29
9000000,2016-07-29
9100000,2016-07-29
9200000,2016-07-29
9300000,2016-07-29
9400000,2016-07-29
9500000,2016-07-29
9600000,2016-07-30
9700000,2016-07-30
9800000,2016-07-30
9900000,2016-07-30
10000000,2016-07-30
10100000,2016-07-30
10200000,2016-07-30
10300000,2016-07-30
10400000,2016-07-30
10500000,2016-07-30
10600000,2016-07-30
10700000,2016-07-30
10800000,2016-07-30
10900000,2016-07-30
11000000,2016-07-30
11100000,2016-07-30
11200000,2016-07-30
11300000,2016-07-30
11400000,2016-07-30
11500000,2016-07-30
11600000,2016-07-30
11700000,2016-07-30
11800000,2016-07-30
11900000,2016-07-30
12000000,2016-07-31
12100000,2016-07-31
12200000,2016-07-31
12300000,2016-07-31
12400000,2016-07-31
12500000,2016-07-31
12600000,2016-07-31
12700000,2016-07-31
12800000,2016-07-31
12900000,2016-07-31
13000000,2016-07-31
13100000,2016-07-31
13200000,2016-07-31
13300000,2016-07-31
13400000,2016-07-31
13500000,2016-07-31
13600000,2016-07-31
13700000,2016-07-31
13800000,2016-07-31
13900000,2016-07-31
14000000,2016-07-31
14100000,2016-07-31
14200000,2016-07-31
14300000,2016-07-31
14400000,2016-07-31
14500000,2016-07-31
14600000,2016-08-01
14700000,2016-08-01
14800000,2016-08-01
14900000,2016-08-01
15000000,2016-08-01
15100000,2016-08-01
15200000,2016-08-01
15300000,2016-08-01
15400000,2016-08-01
15500000,2016-08-01
15600000,2016-08-01
15700000,2016-08-01
15800000,2016-08-01
15900000,2016-08-01
16000000,2016-08-01
16100000,2016-08-01
16200000,2016-08-01
16300000,2016-08-01
16400000,2016-08-01
16500000,2016-08-01
16600000,2016-08-01
16700000,2016-08-01
16800000,2016-08-01
16900000,2016-08-01
17000000,2016-08-01
17100000,2016-08-01
17200000,2016-08-01
17300000,2016-08-01
17400000,2016-08-02
17500000,2016-08-02
17600000,2016-08-02
17700000,2016-08-02
17800000,2016-08-02
17900000,2016-08-02
18000000,2016-08-02
18100000,2016-08-02
18200000,2016-08-02
18300000,2016-08-02
18400000,2016-08-02
18500000,2016-08-02
18600000,2016-08-02
18700000,2016-08-02
18800000,2016-08-02
18900000,2016-08-02
19000000,2016-08-02
19100000,2016-08-02
19200000,2016-08-02
19300000,2016-08-02
19400000,2016-08-02
19500000,2016-08-02
19600000,2016-08-02
19700000,2016-08-02
19800000,2016-08-02
19900000,2016-08-02
20000000,2016-08-02
20100000,2016-08-02
20200000,2016-08-02
20300000,2016-08-02
20400000,2016-08-02
20500000,2016-08-03
20600000,2016-08-03
20700000,2016-08-03
20800000,2016-08-03
20900000,2016-08-03
21000000,2016-08-03
21100000,2016-08-03
21200000,2016-08-03
21300000,2016-08-03
21400000,2016-08-03
21500000,2016-08-03
21600000,2016-08-03
21700000,2016-08-03
21800000,2016-08-03
21900000,2016-08-03
22000000,2016-08-03
22100000,2016-08-03
22200000,2016-08-03
22300000,2016-08-03
22400000,2016-08-03
22500000,2016-08-03
22600000,2016-08-03
22700000,2016-08-03
22800000,2016-08-03
22900000,2016-08-03
23000000,2016-08-03
23100000,2016-08-03
23200000,2016-08-03
23300000,2016-08-03
23400000,2016-08-04
23500000,2016-08-04
23600000,2016-08-04
23700000,2016-08-04
23800000,2016-08-04
23900000,2016-08-04
24000000,2016-08-04
24100000,2016-08-04
24200000,2016-08-04
24300000,2016-08-04
24400000,2016-08-04
24500000,2016-08-04
24600000,2016-08-04
24700000,2016-08-04
24800000,2016-08-04
24900000,2016-08-04
25000000,2016-08-04
25100000,2016-08-04
25200000,2016-08-04
25300000,2016-08-04
25400000,2016-08-04
25500000,2016-08-04
25600000,2016-08-04
25700000,2016-08-04
25800000,2016-08-04
25900000,2016-08-04
26000000,2016-08-05
26100000,2016-08-05
26200000,2016-08-05
26300000,2016-08-05
26400000,2016-08-05
26500000,2016-08-05
26600000,2016-08-05
26700000,2016-08-05
26800000,2016-08-05
26900000,2016-08-05
27000000,2016-08-05
27100000,2016-08-05
27200000,2016-08-05
27300000,2016-08-05
27400000,2016-08-05
27500000,2016-08-05
27600000,2016-08-05
27700000,2016-08-05
27800000,2016-08-05
27900000,2016-08-05
28000000,2016-08-05
28100000,2016-08-05
28200000,2016-08-05
28300000,2016-08-06
28400000,2016-08-06
28500000,2016-08-06
28600000,2016-08-06
28700000,2016-08-06
28800000,2016-08-06
28900000,2016-08-06
29000000,2016-08-06
29100000,2016-08-06
29200000,2016-08-06
29300000,2016-08-06
29400000,2016-08-06
29500000,2016-08-06
29600000,2016-08-06
29700000,2016-08-06
29800000,2016-08-06
29900000,2016-08-06
30000000,2016-09-26
30100000,2016-09-26
30200000,2016-09-26
30300000,2016-09-26
30400000,2016-09-26
30500000,2016-09-26
30600000,2016-09-26
30700000,2016-09-26
30800000,2016-09-26
30900000,2016-09-26
31000000,2016-09-26
31100000,2016-09-26
31200000,2016-09-26
31300000,2016-09-26
31400000,2016-09-26
31500000,2016-09-27
31600000,2016-09-27
31700000,2016-09-27
31800000,2016-09-27
31900000,2016-09-27
32000000,2016-09-27
32100000,2016-09-27
32200000,2016-09-27
32300000,2016-09-27
32400000,2016-09-27
32500000,2016-09-27
32600000,2016-09-27
32700000,2016-09-27
32800000,2016-09-27
32900000,2016-09-27
33000000,2016-09-27
33100000,2016-09-27
33200000,2016-09-27
33300000,2016-09-27
33400000,2016-09-27
33500000,2016-09-27
33600000,2016-09-27
33700000,2016-09-27
33800000,2016-09-27
33900000,2016-09-27
34000000,2016-09-27
34100000,2016-09-27
34200000,2016-09-27
34300000,2016-09-27
34400000,2016-09-27
34500000,2016-09-27
34600000,2016-09-27
34700000,2016-09-27
34800000,2016-09-27
34900000,2016-09-27
35000000,2016-09-27
35100000,2016-09-27
35200000,2016-09-27
35300000,2016-09-27
35400000,2016-09-27
35500000,2016-09-27
35600000,2016-09-27
35700000,2016-09-27
35800000,2016-09-27
35900000,2016-09-27
36000000,2016-09-27
36100000,2016-09-27
36200000,2016-09-27
36300000,2016-09-27
36400000,2016-09-27
36500000,2016-09-28
36600000,2016-09-28
36700000,2016-09-28
36800000,2016-09-28
36900000,2016-09-28
37000000,2016-09-28
37100000,2016-09-28
37200000,2016-09-28
37300000,2016-09-28
37400000,2016-09-28
37500000,2016-09-28
37600000,2016-09-28
37700000,2016-09-28
37800000,2016-09-28
37900000,2016-09-28
38000000,2016-09-28
38100000,2016-09-28
38200000,2016-09-28
38300000,2016-09-28
38400000,2016-09-28
38500000,2016-09-28
38600000,2016-09-28
38700000,2016-09-28
38800000,2016-09-28
38900000,2016-09-28
39000000,2016-09-28
39100000,2016-09-28
39200000,2016-09-28
39300000,2016-09-28
39400000,2016-09-28
39500000,2016-09-28
39600000,2016-09-29
39700000,2016-09-29
39800000,2016-09-29
39900000,2016-09-29
40000000,2016-09-29
40100000,2016-09-29
40200000,2016-09-29
40300000,2016-09-29
40400000,2016-09-29
40500000,2016-09-29
40600000,2016-09-29
40700000,2016-09-29
40800000,2016-09-29
40900000,2016-09-29
41000000,2016-09-29
41100000,2016-09-29
41200000,2016-09-29
41300000,2016-09-29
41400000,2016-09-29
41500000,2016-09-29
41600000,2016-09-29
41700000,2016-09-29
41800000,2016-09-29
41900000,2016-09-29
42000000,2016-09-29
42100000,2016-09-29
42200000,2016-09-29
42300000,2016-09-29
42400000,2016-09-30
42500000,2016-09-30
42600000,2016-09-30
42700000,2016-09-30
42800000,2016-09-30
42900000,2016-09-30
43000000,2016-09-30
43100000,2016-09-30
43200000,2016-09-30
43300000,2016-09-30
43400000,2016-09-30
43500000,2016-09-30
43600000,2016-09-30
43700000,2016-09-30
43800000,2016-09-30
43900000,2016-09-30
44000000,2016-09-30
44100000,2016-09-30
44200000,2016-09-30
44300000,2016-09-30
44400000,2016-09-30
44500000,2016-09-30
44600000,2016-09-30
44700000,2016-09-30
44800000,2016-09-30
44900000,2016-09-30
45000000,2016-09-30
45100000,2016-09-30
45200000,2016-09-30
45300000,2016-09-30
45400000,2016-09-30
45500000,2016-10-01
45600000,2016-10-01
45700000,2016-10-01
45800000,2016-10-01
45900000,2016-10-01
46000000,2016-10-01
46100000,2016-10-01
46200000,2016-10-01
46300000,2016-10-01
46400000,2016-10-01
46500000,2016-10-01
46600000,2016-10-01
46700000,2016-10-01
