id,created_at,text,screen_name,description,location,followers_count,statuses_count,retweet_count
"793442934658068480","2016-11-01","rt migop realdonaldtrump want nomin suprem court justic respect constitut vote protect suprem court el","KathyBerdenGOP","republican nation committeewoman great state michigan feel free tweet question gop rt endors","MI","953","1879","26"
"793442935219957760","2016-11-01","huma abedin comput share estrang husband anthoni d weiner","lachristygreen","nola born famili la sinc law religion polit ethic global affair alwayswithh realdemocrat","LA","3312","106114","0"
"793442942455259136","2016-11-01","rt cnnpolit hillari clinton donald trump neckandneck new nation track poll https","SunilSunderRaj3","staff writer doublegsport cover rcklandbould nj high school sport rcnjathlet men s basketbal volunt mealsonwheel ramapocollegenj alumnus","NJ","1947","236538","96"
"793442936134463488","2016-11-01","rt billybaldwin if trump win re go need wall alright one keep american outta canada amp mexico vote","goslarsharrey","evil prevail mistak norm mpopova what about us","FL","409","29850","173"
"793442949199761408","2016-11-01","for once i agre w trump the media suck they follow whatev stori vs own investigat","Black55T","i luv the lord i luv famili friend and oh how i luv my sport but i wo nt entertain bigot racist nor any trumpster resist","NC","1142","50210","0"
"793442951657553921","2016-11-01","rt redistrict trump s path least resist increas look like","Hesiod2k11","this twitter account punch fascist liber blogger counterspin central if re entertain tweet re wrong","MI","3811","345804","43"
"793442946066415620","2016-11-01","rt dcexamin clinton campaign turn head tweet guid choos two uniqu corrupt candid","teety1970","born believ jesus christ son of god lord savior bless children grand great grand vietnamera navi vet","FL","297","61438","12"
"793442944242057216","2016-11-01","rt donaldjtrumpjr ny time hillari s best surrog say link know campaign lie along deflect usual http","allamericancoll","conserv nycproud father beauti children","NY","2047","51731","1137"
"793442947270270976","2016-11-01","rt truthfeednew shock video liber msnbc host chris matthew endors trump trumptrain maga","Queen123jean","maga love trump patriot are the best","DE","678","30737","33"
"793442946863525888","2016-11-01","rt zerohedg wikileak reveal googl s strateg plan to help democrat win the elect","eap105","","FL","10","195","316"
